"","response.docs.lead_paragraph"
"185","WASHINGTON — The Federal Emergency Management Agency, the office leading the federal government’s coronavirus response nationwide, is running short of employees who are trained in some of its most important front-line jobs, according to interviews with current and former officials."
"186","LOS ANGELES — For over a decade, Jennifer Field Piette has put together boxes of local fruits, vegetables and various pantry staples from California — Koda Farms rice, pale blue pastured eggs, crusty loaves of sourdough — and delivered them to people’s doorsteps in Los Angeles."
"187","CAPE TOWN — Gita Ramjee, a renowned virologist who worked relentlessly to prevent H.I.V. infection in women in South Africa, died on Tuesday of Covid-19-related complications. Professor Ramjee, 49, who had recently returned to Durban from London, was the fifth person to have died of the coronavirus in the country, where more than 1,300 infections have been reported."
"188","Here’s the good news: You now have a sharper camera in your pocket than professional photographers could dream of 30 years ago. Here’s the bad news: You can only shoot from your apartment."
"189","COOL TOWN"
"190","Not only will the coronavirus crisis define Donald Trump’s legacy, it will determine whether or not he is a one-term president."
"191","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"192","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. If you’re interested in hearing from The Times regularly about great TV, sign up for our Watching newsletter and get recommendations straight to your inbox."
"193","My father, an undocumented immigrant from Ecuador, used to take me to water parks every summer back when he could drive. He did it because commercials for water parks were featured prominently on local television and they depicted children acting carefree and wild and I was not carefree or wild and it weighed on him, so he insisted I try."
"194","WASHINGTON — The Trump administration is using a Korean War-era law to redirect to the United States surgical masks manufactured by 3M in other countries as part of a heated pressure campaign to force the Minnesota company to cut off sales of surgical masks abroad."
"195","Last week I took part in an online conversation in which a large group of American pediatricians listened as some of our colleagues from Italy talked about pediatrics in the coronavirus crisis, because what they are dealing with there is what we will be dealing with here very soon."
"196","Click on the slide show to see this week’s featured properties:"
"197","If it feels as if almost every conversation you have, whether with co-workers or loved ones, veers toward talk of the coronavirus, you’re not alone with that thought. The outbreak has upended people’s lives and livelihoods around the world. Hearing constant updates about the news and worrying developments of friends and family can feel overwhelming."
"198","LOS ANGELES — Like legions of immigrant farmworkers, Nancy Silva for years has done the grueling work of picking fresh fruit that Americans savor, all the while afraid that one day she could lose her livelihood because she is in the country illegally."
