"","response.docs.lead_paragraph"
"180","There are a lot of things I thought I would never see happen in Texas politics. Just to pick a few across a vast and varied spectrum: Ann Richards’s election to the governorship in 1990 seemed miraculous — a sign that Texas had turned a corner and was finally heading in a progressive direction. Of course it didn’t, as we saw with her successor George W. Bush and his ascendancy to the presidency in the 2000 election, a step in a different direction but no less surprising to those who had seen, up close and personal, his pretty confounding lack of gravitas."
"181","$800,000"
"182","THE LOST FAMILYHow DNA Testing Is Upending Who We AreBy Libby Copeland"
"183","BARN 8 By Deb Olin Unferth"
"184","Recently Maryellen Stewart, a freelance copywriter for luxury brands, was window-shopping in SoHo when she noticed a large sign in a restaurant window advertising a “curated” menu."
"185","The Trump administration has struck another blow to common-sense management of public lands in the West. Virtually all the spectacular country neighboring the Escalante River in the Grand Staircase-Escalante National Monument in Utah will be reopened to cattle grazing, thanks to a new plan for managing the monument released by the Interior Department last month."
"186","“Designing Women” is under renovation."
"187","With the death toll from the coronavirus surpassing 3,000 worldwide, the ramifications have spread to nearly every aspect of life, with sports no exception. Events major and minor have been canceled, moved or postponed, as athletes, officials and spectators worry about the spread of the virus."
"188","THE MOST IMPORTANT thing that Sou Fujimoto did as a young architect was to not produce any architecture. A transplant from rural Hokkaido, in the north of Japan, he was 23 years old in 1994 and had just graduated from the University of Tokyo, where he had studied architecture and had been impressed by the pure, elemental visions of Le Corbusier and Mies van der Rohe. But the work that seized his imagination nonetheless left him lost. He felt that he had learned too little in his time. There were so many possible directions for architecture that they were difficult for him to sort out. He was, by his own account, intensely shy, unwilling to brave the gauntlet of auditioning for Toyo Ito and Sanaa, Japanese architects and firms he admired."
"189","SEOUL, South Korea — To his followers, he is a descendant of the ancient kings who ruled Korea centuries ago, “the angel” Jesus sent for mankind, and the one and only “counselor” who can interpret the symbols and secret codes hidden in the Bible’s Book of Revelation."
"190","In an extraordinary attempt to contain the coronavirus’s economic fallout, the Federal Reserve slashed interest rates on Tuesday as policymakers unanimously approved their biggest one-time cut — and first emergency rate move — since the depths of the 2008 financial crisis."
"191","I’m a marmalade lover, and this one — from Brins, a small Brooklyn company that makes unusual flavors, including banana — has intriguing allure. A dulcet riff on preserved lemons, with a musky hint of saffron, it’s fine as is, but the website suggests using it in marinades for Easter lamb and Moroccan lemon chicken, and pairing it with Uplands Pleasant Ridge Reserve, one of my favorite cheeses. Or swirl it into rice pudding. Candice Ross, an architect and the company’s owner, is originally from Lake Charles, La. “Brin” means “a little bit” in Cajun French."
"192","“Designing Women” is under renovation."
"193","The Trump administration has struck another blow to common-sense management of public lands in the West. Virtually all the spectacular country neighboring the Escalante River in the Grand Staircase-Escalante National Monument in Utah will be reopened to cattle grazing, thanks to a new plan for managing the monument released by the Interior Department last month."
"194","Recently Maryellen Stewart, a freelance copywriter for luxury brands, was window-shopping in SoHo when she noticed a large sign in a restaurant window advertising a “curated” menu."
"195","With the death toll from the coronavirus surpassing 3,000 worldwide, the ramifications have spread to nearly every aspect of life, with sports no exception. Events major and minor have been canceled, moved or postponed, as athletes, officials and spectators worry about the spread of the virus."
"196","Howard Wolinsky is a medical journalist in Flossmoor, Ill., who knows better than to go forward with potentially life-changing surgery without first seeking a second opinion."
